Fecha Emisión,Fecha Publicación,Delitos-Modalidades,Juez,Sentido del Fallo,Descripción o Criterios Judiciales,Sentencia
03/enero/2020,04/febrero/2020,HOMICIDIO DOLOSO CALIFICADO,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE PRESCRIPCIÓN DE LA REPARACIÓN,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izosONHSy7i12hRvOncS2oxo3Ng0Dsmkz1n+8af+x5LN9aziVD5Jgl7OG+Uj3B4N69DOi6En2bjz+OAzPlzwCpzm3KHoIu+ixg2bF1dWdr5+qsNCJ9seHgO4q1Frbq3w9B6kJpD1qfkugzih1Gd2vmQ+ju5iaZ11c47IQBEQXd7sFKaWZ8Tiu8vQuUL8acaV83A=
31/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izoL2eh7Kby96AhbWfJw5urFYFjN2O/+TWpf+66f/arlcLAMn5655T4mfuvJ+CuH32v7MtVAZSCXioOF0who+I8FUDbH226vXM9WAd0IweK1SDU2K+BOP3DOPkVR5wajGT1wnNSRoEJrgVgw91hVtks4sBlc61diBFo6VroM2myDxMHScQvOiFjenEmtKlKVvjw=
31/diciembre/2019,04/febrero/2020,VIOLACION EQUIPARADA,ANDRÉS DE LEÓN CRUZ(Elabora), ,CONCEDE LIBERTAD ANTICIPADA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrU9xUmGRagsD+X/irSaAcRcZ9O1vQmhXxMiGVloYO+zewP8cSJm3DKEKrOA6NSS5BrclhTqHWe/lZGl7r76Ml5TxRXpZo2X5fsvWZNNMH4rDxC2eutF3zlSEp8Yl6B4e+GUnIdEx9c+mDLCYKb+8YM0oNzbo2kdcBS3TGvcCkHTulxqhnUmPzw6DhwiuqhATA=
31/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpUGfBVt+KQdvQOdFJDVL0QaDDw1tORr8HMsXJbyjYH57hXmSjmgca4kr28ePL8DRUkyJZrLAPkEEZ91twfC1rYdESHwfiOGQsiB5TvsxHhZNCey8YaISWPBM5uhdTDN89kDMfbR0eBXE0jh4XmBq8yogtseHyhuICJbJOhrZTb6/iDJIEkgJKX7y6YBQwJM8E=
30/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE RESTITUCION DE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpcix4nO3UHfiRuI07c7mpVPE2kl9VjFZzHBa39CA/ZJuRtxlkil9owLTd+iV+yz5ysRKZwPl3ZSpEvz+N4ADrAjRmatvUuIAGkX1h964By/Pr6zIu3wPZeYHTrGtXvNxa/VLrow/IWBZZ8ljOvcQY2zLt90jFXqkqJ2A0PJo3nG5VrHdgEzbOET3nCbIRnQK0=
30/diciembre/2019,04/febrero/2020,VIOLENCIA FAMILIAR EQUIPARADA,ANDRÉS DE LEÓN CRUZ(Elabora), ,CONCEDE LIBERTAD ANTICIPADA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpD6iBYtwpdrbdiLAYFXpDLMljd0rdOnwFQj2YUmJk29ehXtPAiQ7qCkemjGcU6cBe23kTblKUW/O3Vr7W17+GayTnY29pgxhS43DVzRcf/9AvpIsFixqxoNU0wXPCrcZLH+VyN+1eDOXUoeU5uYbqW0sb52RuGM8loARjJ1MfBCOsqQoiwHX1dTL44/c8zO1U=
30/diciembre/2019,04/febrero/2020,ROBO SIMPLE,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izogu+CAOYzvMdLAcIuPOZcj+qJ7wrYX5kXA3Kcamkcx/9TKc1MJJKtuG9CyW6L1EhJ0cnibVoPQYvX7shH0X8morbp8OYPObc7FgoTVeFLu4IR3z3HyvhEDCRMwi6DFrcY5MjWlsV58rCWBncT8CEWAPkjNCo3mJsxZvv0N2KJpg+iRSurb+Z4Z4HHwqxGJ7w4=
30/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpcwHo4ppZXk8g3IRNqxOmyuyENShRt9XmFKdhpNlX3flcSeEdzrxXFy0J3pGR6Y1uXU+ZRJok08qC3Fv7U34u+ijbzYjNW7ABw7nwNd1BXqhHI+WhbNfS3GdeDMHI8fmhl6KblHDP2C9rBLfcJgRDLblSlZSWfE7Yllrs6lpRZT8r2sLdsna06/p8dmCei8FQ=
30/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izqeH+0JtdAYDcYCqCSns6+HEr2fWhfVDtsqJZgRdXrG58NkqK1/qxsqVooySZg+KYJjkCWu6WIDOkZjHNt2Q+MIwaOArkfdLFF/RndqL0ftviCWh4oULLhTUYSrrYtdo4arRlIAb5OlkPxJYy2B7uJgQKVkbd4x1f7aeUFtu4xLsYOPGJgJhPOcV2Ka3RkX6yM=
27/diciembre/2019,04/febrero/2020,HOMICIDIO DOLOSO SIMPLE,ANDRÉS DE LEÓN CRUZ(Elabora), ,CÓMPUTO DE PENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrNqpOpwfTPAnyHt5Ob3YY9raZTSB7wKoQmKsibeQ91ZGgBWSp22ChPsLNVTQP3Mc5LvOSwNbixMrUJ9SCJuapE2NOHaMxOzgOHmPzG7ytV16ifD6nBT4KoXLYQAdBnnNwW3gktNosyThIlN2BIYxBo98GVi9+uqgcOBm7560zhsTki7zT7ShdDeag4x4DACnE=
27/diciembre/2019,04/febrero/2020,ROBO CALIFICADO,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izptI7tCD4gYrum6+dIyFAnnW61Z7P6d/huwwILiMT9xN4souNIAtAtDUj3enw/KWx8w4P3ktZITEUJeTpLMxnjDbJL25R/hQhrWH9zkkgzSAK1h08RanJah+bDhCo+q8GSHNZlNw4I+fJibWNfObHOSddw3wivXqJUWBMuQ8OKrOZHCh+YZ9AYJUrjbMY1UIdk=
27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izq7fG9Ac1CKfmBbR1ieMEvmLdo1hiTr1n/0G0vK0WyJ3ICAbzvNEEhOJVu2f5PzD/Q6IuOS0G6X44A9GwBIgKHy+cbmm9cTC+o+89h5uM8m8rXZynVQQj11rS6+XSEzNhsdmu1wqxRSYpNcUDBno6wSxYXJOAhUXIzhG/vg+9R31/1RZ6LWgcxFM9jwdi5R70M=
27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izp41ZUpiLYi70+nl0GhO+68flGODuqd+C4dKUi8VdCYSmisrKW4FczWygARPXxuwIm0QG1ljYbSWpb7KN8grkqHVvCB+34svDl8RZ8IBNkq4dNnM0FZvhOpYmql3ZBDE0xsKCyt8eX1BGpEZmzEgPzyZ2WKmunhIuCisCnHZWYFH+46X2D5JxP9Ji9gKzMq3Ss=
27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izo6pQ2xixD5dS5eL9qZdyF4wCABxPTkzfRMP9tfNQR+4zwIgF71wsRpJDylf1M1a+M6BfCfRoAN4qLFzcVRux7vuUCHG92RWCSMjJTHS5Jclo9V0Cyoe4hvY2Xjp54EVINRQJEvJzw80i66gECaK5OYssNnrQ0kGPjm2AfT5sRUepyqsWmqYsEGj0rfVn25cMc=
27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izqt1apqbuFhBKr1zgCNpeCfh32ARhfCChdn9biBSzmQBBKfjeKQ/rcOCTu19dyWMDH9U1ZXso7dV0cg8lWCyG5ft95+ZX0FQWo0fIgKp4BhdRkrI6i5GE0/+VdQTA1+MGJnU0Gd8BdLgFc2qYEcOnTeDk50UeqM1aFIjA8Q02AKQHTB8+kIB7BGe6zKT3PRAxI=
27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE SUSTITUCIÓN DE MULTA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrtuKhBj7mttBe2DtgkT7A3ci1oQMQTLy/YKm13m0KosBmNgxfXUQ3OWMFRVlyyH2mUSxyRwhN415f8uc+jpn/VuZ7FQsVRW/i8B5XmBK3LHq1K1t9U2GiGLRKzFfyf9JXMcM76YidKh/rqHVQiwb8jTfCNqgt2ynV2KwosErQfZB2FRqSF8+gpGB62hBAcYJY=
24/diciembre/2019,04/febrero/2020,"DELITOS CONTRA LA SALUD NARCOMENUDEO, POSESION DE MARIHUANA Y COCAINA CON FINES DE COMERCIO",ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izp5pS4xPg35sLDYlYomiSA0JLvvMMDg11ENc/JWK7LQ2enW6BMzwPe3MSCbJFAMqGCqMKB6tFqX60b7n4YVzWwygETrJtTL+S5j6IhxJuDdbV8l1XCwXj6Axs/yVi5s40S1NdEGjuU8YlXCP/ZAPl49sK+JR8j15KcRJKE90q+VY0Khi7Tmws7S8ZJqS2WGNo0=
24/diciembre/2019,04/febrero/2020,"DELITOS CONTRA LA SALUD NARCOMENUDEO, POSESION DE MARIHUANA Y COCAINA CON FINES DE COMERCIO",ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izoNDp/rlipfX6HeeAgJddmdaHpjKQPfC1edy6yMNOS3YSJL/InNZAODHH8ipBuneOnaCQJpzklhmxCXOwl7bnUChsjANAFEdPc0L/ti/zwRADkpIWDPV5YUseHL4aM2FRiMLdq7c+yUD42HxqO7NCdus89yxBgNUzrkk5Ck2FlbVxMfDOo0UOE2oejh8ke8BSI=
24/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrAFagVw4um6F+CiNsD6B1/djqBbXM+oTnIoIL2n/FKjgew8W0KDF8zrwhdhPqN2WJHR4RWvq9g7asCh7ZwDCRJgYZgDuTmt91PmGXPaSFWDek9JZmnY0gQ8fc+jLseR173K7hJglfPlL28mdjnyVJ9Y9SjcTJBcnYMGofnnuR4Z1+Thhexkx6pVw1dgKATilg=
24/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izqLMopeOs4iODMsNiuGCSIYI//1Qp8wof3WVxe8N4wc/0x/CX2FSLAKlfxbMq9GCfgtbC7QWmi9ZO5IJXtSYJKAaCdcaipnYsIWv839pUAUXmS4i6LNCZAXIUM5HCS9+42gXcQaw6j1OYCjTaTOM1saijtRZYDh5BWT1IJ4U3sCJ/1yeWXiv9K14SJ8AOCcar0=
24/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izr0R/2muNgeBJQNUrjte1uY5jhSs5rzWsyHbpLykKpF8OOHLMSZHZUdyCJes40IepUmfJlcwiCxBHccXrS+Yl8zVF8ZLt4/RycvW2W9GKIK+sBDOd2rOsdZtJhjX47EJl/xKsVkp40PbOjLS3aOaCokqIc8ANRCnlcMXSQAv+r0Tf5b1r8K27I+n98NjjBctKY=
23/diciembre/2019,04/febrero/2020,HOMICIDIO DOLOSO,ANDRÉS DE LEÓN CRUZ(Elabora), ,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izoMFtnAqUIQlWLRlbFFqQNFYhoOa/ZurPCY1LWhBzAkAM9G2WqWZnQnAbjQbJIZTqRJ9HBDTRrk/p4Gdjy8T8o9DIjBJB3VmUvoN17Bw8cAa7qXkU5oyJBMT2hDrPLlB0Rs8Gp9YJdDu3d/+hUiEBhy5CXt5xtmAizrnS0m6HbgAhNwITYzxyeWDMm3neLeqVs=
19/diciembre/2019,04/febrero/2020,ROBO EQUIPARABLE,ANDRÉS DE LEÓN CRUZ(Elabora), ,CÓMPUTO DE PENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpdFdr36c5WMWleoa2bcYeOjZ/4J9YI7Dnfja8CmC74PtjBkWzLiXu8rsrdIbD7ASniS/QbaCP+b0JmE6BJ4Cwd+rsl7eHeXFI05P4kvtxZoEkIAYw3Gt2aLRBxHF76ggbzilZ0DOqzrQoblqihTdXp3iRqfsBIN660pO5fJIg3mSpxP/CX7i20OxyjWN9ezyI=
18/diciembre/2019,04/febrero/2020,ROBO CALIFICADO,ANDRÉS DE LEÓN CRUZ(Elabora), ,CÓMPUTO DE PENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izo+53lt5W3D0q06M1XcqG55iT4NScRSbZ7sP4oY/4+NhD5rjdELXp7sFnKtz5QhKrlFitsurEhXbnkGRQ2MYbim4NZIPd//P6dJOzZ3SpTNRf9UEtqly9XXdU8sY49BOOp9mlJtJcQb8DS37c8RbVT5OrniDFUW8mMf7vj+CZ+/vqhB/hYpK+bTJii6Z0YidLs=
